,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,test_r2_with_best_hyp,model_name,seed
30,0.004983663558959961,0.0008140103547373524,0.002327442169189453,0.00047019105802476746,0.6000000000000001,1,50,"{'learning_rate': 0.6000000000000001, 'max_depth': 1, 'n_estimators': 50}",-0.2668997013241401,-0.005174151416757811,-0.17712761966121193,-0.1497338241340366,0.10859061007170903,36,0.6802537904386152,Light GBM,0
31,0.006648858388264974,0.0016957314495968552,0.0026601155598958335,0.00046940359163817255,0.6000000000000001,1,100,"{'learning_rate': 0.6000000000000001, 'max_depth': 1, 'n_estimators': 100}",-0.2668997013241401,-0.005174151416757811,-0.17712761964986834,-0.1497338241302554,0.10859061007075516,31,0.6802537904386152,Light GBM,0
32,0.007314602533976237,0.0018809860029756404,0.002991358439127604,0.0008138097123816642,0.6000000000000001,1,150,"{'learning_rate': 0.6000000000000001, 'max_depth': 1, 'n_estimators': 150}",-0.2668997013241401,-0.005174151416757811,-0.1771276196385252,-0.14973382412647437,0.10859061006980132,26,0.6802537904386152,Light GBM,0
33,0.004985729853312175,0.0021544985821924296,0.0019947687784830728,4.052336624139774e-07,0.6000000000000001,3,50,"{'learning_rate': 0.6000000000000001, 'max_depth': 3, 'n_estimators': 50}",-0.2668997013241401,-0.005174151416757811,-0.17712761966121193,-0.1497338241340366,0.10859061007170903,36,0.6802537904386152,Light GBM,0
34,0.0063161055246988935,0.00329071354589254,0.0029914379119873047,0.0008137123299318207,0.6000000000000001,3,100,"{'learning_rate': 0.6000000000000001, 'max_depth': 3, 'n_estimators': 100}",-0.2668997013241401,-0.005174151416757811,-0.17712761964986834,-0.1497338241302554,0.10859061007075516,31,0.6802537904386152,Light GBM,0
35,0.008642832438151041,0.004485358538768944,0.001994927724202474,0.0008141989550473442,0.6000000000000001,3,150,"{'learning_rate': 0.6000000000000001, 'max_depth': 3, 'n_estimators': 150}",-0.2668997013241401,-0.005174151416757811,-0.1771276196385252,-0.14973382412647437,0.10859061006980132,26,0.6802537904386152,Light GBM,0
36,0.006315151850382487,0.0016940017756087646,0.0016636053721110027,0.00047064207297298736,0.6000000000000001,5,50,"{'learning_rate': 0.6000000000000001, 'max_depth': 5, 'n_estimators': 50}",-0.2668997013241401,-0.005174151416757811,-0.17712761966121193,-0.1497338241340366,0.10859061007170903,36,0.6802537904386152,Light GBM,0
37,0.00797565778096517,0.004231993698628378,0.0029952526092529297,2.867638040013109e-06,0.6000000000000001,5,100,"{'learning_rate': 0.6000000000000001, 'max_depth': 5, 'n_estimators': 100}",-0.2668997013241401,-0.005174151416757811,-0.17712761964986834,-0.1497338241302554,0.10859061007075516,31,0.6802537904386152,Light GBM,0
38,0.007312854131062825,0.004016886392222563,0.0016623338063557942,0.0004702464780789008,0.6000000000000001,5,150,"{'learning_rate': 0.6000000000000001, 'max_depth': 5, 'n_estimators': 150}",-0.2668997013241401,-0.005174151416757811,-0.1771276196385252,-0.14973382412647437,0.10859061006980132,26,0.6802537904386152,Light GBM,0
39,0.00498509407043457,0.0021549406350248736,0.0026610692342122397,0.0009401566883237112,0.6000000000000001,7,50,"{'learning_rate': 0.6000000000000001, 'max_depth': 7, 'n_estimators': 50}",-0.2668997013241401,-0.005174151416757811,-0.17712761966121193,-0.1497338241340366,0.10859061007170903,36,0.6802537904386152,Light GBM,0
